Formula,A,B,X,a_normal,b_normal,c_normal,angle_a_normal,angle_b_normal,angle_c_normal,energy_normal,volume_normal,force_normal,a_inverse,b_inverse,c_inverse,angle_a_inverse,angle_b_inverse,angle_c_inverse,energy_inverse,volume_inverse,force_inverse,CLscore,Experimental,MACE_conv_normal,MACE_conv_inverse,MACE_conv_both,MACE_conv_any,Ehull_min,Ehull_min_type,SuperScore,inversion_parameter,delta_E,SMACT_low,SMACT_medium,SMACT_high
TcFe2O4,Tc,Fe,O,8.61617471264669,8.616174712646892,8.616174712646783,90.00000000000014,90.0,90.0,-406.8700812924913,639.6515993040133,0.0325405048834108,8.617640694397346,8.613757079350899,8.606357383321782,90.73547745896506,90.86732925929688,89.45553816138255,-405.8711136954066,638.6986721687463,0.0413321239673442,0.4999690500646829,,True,True,True,True,0.321871,normal,,,0.998968,True,True,False
TcGa2O4,Tc,Ga,O,8.60413907381676,8.60413907381639,8.604139073816677,89.99999999999984,90.0,90.0,-365.8556590739897,636.9748197731868,0.0115641802237066,8.464660358261956,8.527766303507173,8.500963595879787,89.48908432327573,91.98619044066652,88.79533814891676,-4126.785782072637,613.1062562044269,456.8339272673793,0.5857620003819466,,True,False,False,True,0.27125,normal,,,-3760.930123,True,False,False
TcGd2O4,Tc,Gd,O,9.448033827430049,9.448033827430278,9.448033827429908,89.99999999999896,90.00000000000001,89.99999999999999,-591.5048295200635,843.3819822110324,0.0484567572932286,9.488462771987884,9.723779441321208,9.688632040766224,92.19563967415186,90.89837541231772,89.7051140170716,-605.9420151066237,893.1339036057722,0.0484908670627054,0.556689606308937,,True,True,True,True,0.302297,inverse,,,-14.437186,True,False,False
TcGe2O4,Tc,Ge,O,8.87472641406349,8.874726414063243,8.874726414063506,89.99999999999993,89.99999999999999,90.00000000000001,-361.0184198507699,698.9802763659814,0.0347554303348308,9.125539538030472,9.082308994023984,9.326338434543564,96.08845756198096,90.70395870984424,86.48560664610055,-378.952738117867,767.1574077578532,0.0568302893550762,0.3154214024916291,,True,False,False,True,0.569382,normal,,,-17.934318,True,False,False
TcH2O4,Tc,H,O,7.854116081052978,7.8541160810533155,7.854116081053582,89.99999999999991,90.00000000000001,90.00000000000001,-309.8150647572871,484.4979536708572,0.0101729064466929,8.365916106017101,8.603603755794904,8.752228496514455,86.87177526437183,88.73734003404488,89.84646877178416,-358.2868085604601,628.8672664362143,0.1152510190731185,0.9120013463497162,,True,False,False,True,0.941306,normal,,,-48.471744,True,False,False
TcHf2O4,Tc,Hf,O,9.110656301029712,9.11065630102969,9.110656301029625,89.99999999999953,90.0,90.00000000000001,-519.6155315868568,756.2214461742163,0.0336431779535383,9.05527895750152,9.02858325255573,9.162585894509666,91.29176431786668,89.0159621797795,89.96471630007278,-536.818290296476,748.7982838548336,0.0407996791690016,0.0183618822240805,,True,True,True,True,0.619349,inverse,,,-17.202759,True,False,False
TcHg2O4,Tc,Hg,O,10.575228234916423,10.575228234916294,10.575228234916423,90.00000000000115,89.99999999999999,89.99999999999999,-298.9406792086804,1182.6854319876422,0.0322752636212226,8.728460806519267,8.685320314916847,8.690027139657085,90.40122736472556,90.20377404329004,89.91078366093139,-11291.008109536428,658.7653284045771,3934.1576777902646,0.775920185148716,,True,False,False,True,0.0,normal,0.78,0.0,-10992.06743,True,True,False
TcHo2O4,Tc,Ho,O,9.446143493611547,9.446143493612167,9.446143493611917,89.99999999999122,90.0,90.0,-445.7642331001125,842.8758595968544,0.0175030026572582,9.368739038304088,9.328875311975434,9.424650559186611,90.75741948673424,90.18364326973284,88.62032446436042,-458.2179801801741,823.3983731404687,0.0476118095777031,0.4155535304546356,,True,True,True,True,0.326491,inverse,,,-12.453747,True,False,False
TcI2O4,Tc,I,O,10.491294863311436,10.491294863311134,10.491294863311174,90.000000000342,89.99999999996763,90.00000000006345,-308.91375489246485,1154.7481624317747,0.0492728197371513,8.075168799040567,8.072769899287302,8.072397011188478,90.0280629701111,90.01864261808932,90.00383250198517,-71212087.32012299,526.2312320279668,157660174.3731202,0.9555624508857729,,True,False,False,True,0.066367,normal,0.7849999999999999,0.0,-71211778.406368,True,False,False
TcIn2O4,Tc,In,O,9.146985534886714,9.14698553488701,9.146985534886923,89.99999999999943,90.0,90.0,-348.26247270386546,765.3039887444562,0.0033813627463008,9.15198209830401,9.166295069417142,9.150781264391602,90.889710414714,91.42326074491004,89.01320582484435,-355.0985239145589,767.2187129639607,0.0490557818031638,0.6057894909381867,,True,True,True,True,0.190128,inverse,0.135,1.0,-6.836051,True,False,False
TcIr2O4,Tc,Ir,O,8.798704476492404,8.798704476492194,8.798704476492428,90.0000000000007,90.0,90.00000000000001,-406.2815487914314,681.1710682857893,0.0170751547211533,8.454265594739828,8.493909152152803,8.454431305757197,89.07038622862159,90.49422235834652,90.40399442052714,-414.54689100175744,606.9937245140585,0.0476987090846391,0.0383555039399493,,True,True,True,True,0.385109,inverse,,,-8.265342,True,False,False
TcK2O4,Tc,K,O,10.071442956675265,10.071442956675623,10.071442956674767,89.99999999999979,90.0,90.0,-349.27650070721205,1021.586374536034,0.0437824431026429,9.94340302826662,10.461432934357475,9.681910908510272,91.75751419480729,90.03159247850826,88.72905573707841,-340.3849795185825,1006.4126583137522,0.0777651682262875,0.8949430084228516,,True,False,False,True,0.0,normal,0.89,0.0,8.891521,True,False,False
TcLa2O4,Tc,La,O,9.735469727037112,9.735469727036206,9.735469727037003,89.99999999999758,90.0,90.0,-441.25128804732816,922.7216952298876,0.0159858457778749,9.372171833446222,10.08795894184756,9.837527148865584,90.5400482860998,89.59145441422548,88.70782075674028,-458.5992117296578,929.7967590774714,0.0459626041428648,0.550646642446518,,True,True,True,True,0.306765,inverse,,,-17.347924,True,False,False
TcLi2O4,Tc,Li,O,8.431822859562526,8.431822869343678,8.431822889017885,89.99999924935972,89.99999996577657,89.99999996039635,-370.957670476117,599.4658178272178,0.0401985319816033,8.69565370744605,8.461214999816164,8.4912094863405,91.23183165344383,89.37828781276674,89.29448698980207,-356.92913127427295,624.5171516025399,0.0498254052132483,0.2442991141974926,,True,True,True,True,0.0,normal,,,14.028539,True,False,False
TcLu2O4,Tc,Lu,O,9.372653082131569,9.372653082131212,9.372653082131874,89.99999999999228,89.99999999999996,90.0,-448.2575843732098,823.3559480403883,0.0228126382395563,9.30312221249778,9.373926906918896,9.362823307885112,91.39187765539565,90.49548949785893,88.9032388130189,-2380.02544890049,816.0839372079431,709.6737588793263,0.4918287833034992,,True,False,False,True,0.551375,normal,,,-1931.767865,True,False,False
TcMg2O4,Tc,Mg,O,8.546151265284854,8.546151265284957,8.546151265284854,89.99999999999952,90.0,90.0,-381.5186207910673,624.182698501721,0.0351501026196679,8.548179226956595,8.55338986245516,8.557687424377699,90.39982954446586,90.37476048308648,89.55046787808,-382.4109926135689,625.655445085405,0.0468328490653162,0.2048928803578019,True,True,True,True,True,0.09534,inverse,,,-0.892372,True,True,False
TcMn2O4,Tc,Mn,O,8.759371248028433,8.759371248028426,8.75937124802842,89.99999999999987,90.0,90.00000000000003,-443.27513315468906,672.0766396371173,0.0240226842865345,8.7439270085608,8.73533228177279,8.725971973814001,90.43304455844292,90.90379321984508,89.41722222464936,-445.64479379677255,666.3637750495018,0.0486274868258526,0.6528081107139587,True,True,True,True,True,0.049634,inverse,0.525,1.0,-2.369661,True,True,False
