Formula,A,B,X,a_normal,b_normal,c_normal,angle_a_normal,angle_b_normal,angle_c_normal,energy_normal,volume_normal,force_normal,a_inverse,b_inverse,c_inverse,angle_a_inverse,angle_b_inverse,angle_c_inverse,energy_inverse,volume_inverse,force_inverse,CLscore,Experimental,MACE_conv_normal,MACE_conv_inverse,MACE_conv_both,MACE_conv_any,Ehull_min,Ehull_min_type,SuperScore,inversion_parameter,delta_E,SMACT_low,SMACT_medium,SMACT_high
ErRe2S4,Er,Re,S,10.50963309442781,10.509633094428636,10.509633094427286,90.00000000000152,90.00000000000003,90.0,-406.6638018426895,1160.8140699659602,0.042427268615306,8.020442340368522,7.995915158263673,7.988382203006651,89.8229457342815,89.96548852947103,89.68910395294449,-187027.3722541052,512.291077831852,266922.11246387835,0.9384381651878356,,True,False,False,True,0.351978,normal,,,-186620.708452,True,False,False
ErRh2S4,Er,Rh,S,8.232556007553603,8.232556007553551,8.232556007554154,90.00000000000084,90.0,90.0,-532.4442635318553,557.9613057328957,0.0417885733228844,8.089807953255152,8.083084407206266,8.09133099533089,89.88965266474867,89.84159839214634,90.12749475450047,-481898158.9385347,529.0926733775309,1239854757.0352714,0.6501128711551428,,True,False,False,True,0.0,normal,0.65,0.0,-481897626.494271,True,True,False
ErRu2S4,Er,Ru,S,8.177040039694665,8.17704003969491,8.177040039694717,89.9999999999991,90.0,90.0,-1628.6941282064058,546.7494728341794,0.0223447347540327,8.026609366473595,8.020213966920773,8.021157740607546,89.95163937112292,89.94862885506217,90.02605871191179,-211633320.2641922,516.3625835048956,342917536.27961826,0.89263203561306,,True,False,False,True,0.0,normal,0.89,0.0,-211631691.570064,True,True,False
ErSb2S4,Er,Sb,S,8.447841166066782,8.477794496874264,8.484419390753242,90.00006202623243,89.99996330893583,90.0002115617055,-1987.141025123876,607.6461528451573,192.40078290492,8.128411925680775,8.13710320007017,8.138722609095511,90.00971319403598,89.99606605530113,90.01867289499073,-268228.0996606802,538.3091288424355,242524.16000132065,0.9563015848398208,,False,False,False,False,,,,,-266240.958636,True,False,False
ErSc2S4,Er,Sc,S,8.532968980056282,8.53265785432098,8.532231723938144,89.99988253819112,90.00004545306828,90.0000466876616,-141334.1500755654,621.2224472186825,8229.091738742298,8.28836417061985,8.28906964159097,8.286891877013547,89.97922187449022,90.02398232847956,90.0801076216784,-189332.46699599785,569.3322621755411,71525.30242411545,0.925613408088684,,False,False,False,False,,,,,-47998.31692,True,False,False
ErSe2S4,Er,Se,S,8.256254818469433,8.256254818469472,8.256254818469596,89.99999999632645,89.99999999993969,89.99999999983199,-140.3929384295334,562.7937492791103,0.0092972708136982,7.94738702894273,7.957096146904235,7.96206346896686,90.07662190604545,89.98235109150903,90.03228793938335,-322731381.7028609,503.5053926935208,252751066.4612325,0.8696339631080627,,True,False,False,True,2.245419,normal,,,-322731241.309922,True,False,False
ErSi2S4,Er,Si,S,10.666985872822355,10.666985872822137,10.666985872822536,90.00000000012892,89.99999999999962,90.00000000000321,-284.2717656839802,1213.7385885913618,0.0465226307918073,8.665432779453782,8.65401326357058,8.642475478114713,89.97915882863522,89.7369808767338,89.66864244367287,-3985.027251119663,648.0881887193635,3938.844087661462,0.9008520156145096,,True,False,False,True,0.589541,normal,,,-3700.755485,True,False,False
ErSm2S4,Er,Sm,S,11.52702616107763,11.527026161079151,11.527026161077671,90.00000000000072,89.99999999999986,89.9999999999998,-356.6939979394624,1531.6228484097269,0.0382477368215103,8.279313463049531,8.275779580839773,8.274397484186364,90.0031076755079,89.97813425446351,90.018102088706,-227967.5937177237,566.9432206117478,96420.60029783276,0.871551598906517,,True,False,False,True,0.054603,normal,0.745,0.0,-227610.89972,True,False,False
ErSn2S4,Er,Sn,S,8.421251274680868,8.421251274673239,8.421251274678069,90.00000000002157,90.00000000001167,89.99999999999208,-889.3420807882987,597.2138601613608,0.2456657600382508,8.127831299758222,8.130936567451343,8.13003611955976,90.07699195744264,90.06868543629909,90.02804804456326,-128346.96809006688,537.2877913988503,140466.33482822176,0.9203090316057204,,False,False,False,False,,,,,-127457.626009,True,False,False
ErSr2S4,Er,Sr,S,11.926649339373396,11.926649339371435,11.926649339371435,89.99999999997054,89.99999999999962,89.99999999999872,-296.71927197391966,1696.5058114576832,0.0262011630779757,8.883372919963335,8.876395910844753,8.866267112603264,90.05301919827313,90.04279781779474,90.09718857228437,-22649190.931512967,699.1243641208664,71901415.79427382,0.9195375990867616,,True,False,False,True,0.183843,normal,0.4700000000000001,0.0,-22648894.212241,True,False,False
