Formula,A,B,X,a_normal,b_normal,c_normal,angle_a_normal,angle_b_normal,angle_c_normal,energy_normal,volume_normal,force_normal,a_inverse,b_inverse,c_inverse,angle_a_inverse,angle_b_inverse,angle_c_inverse,energy_inverse,volume_inverse,force_inverse,CLscore,Experimental,MACE_conv_normal,MACE_conv_inverse,MACE_conv_both,MACE_conv_any,Ehull_min,Ehull_min_type,SuperScore,inversion_parameter,delta_E,SMACT_low,SMACT_medium,SMACT_high
TeZn2Se4,Te,Zn,Se,8.001193890484537,8.001193890484386,8.001193890484386,89.99999999999996,90.0,90.0,41.53944064884888,512.2292611837014,0.0473553885525465,8.185673852688243,8.129347236338795,8.11328917120766,90.1969240465371,90.84394030007267,89.92777101104126,-143832922.96020353,539.8300664809354,2198877471.537028,0.7955774813890457,,True,False,False,True,3.95943,normal,,,-143832964.499644,True,True,False
TeZr2Se4,Te,Zr,Se,8.399019445137148,8.399019445137139,8.399019445137027,89.99999999999967,90.0,90.0,-67.38061732266402,592.4964603751725,0.0461643983920921,8.015190164477417,8.013814615936763,8.017553940424866,90.03225718056481,89.99867164314414,89.98978390054717,-4326192.234363038,514.9854238317039,3739516.992903618,0.785843867957592,,True,False,False,True,4.824735,normal,,,-4326124.853746,True,False,False
TiAg2Se4,Ti,Ag,Se,7.411228399620193,7.411228844292522,7.411228242209535,90.00000329967145,89.9999741222778,89.99998681562371,-7020.402171493126,407.0714175918855,590.2831024317286,7.885775632664901,7.89545927609411,7.894079254076802,89.86514882274322,89.94123785750278,90.00140805777026,-32582653.796813536,491.498124510156,22297701.22520778,0.4732027013599872,,False,False,False,False,,,,,-32575633.394642,True,False,False
TiAl2Se4,Ti,Al,Se,7.672126856326728,7.672126856326779,7.672126856326602,89.99999999999831,90.00000000000001,89.99999999999999,-469.07134058471047,451.59312895024016,52.84112843575699,7.920229847678211,7.922508576314851,7.926813327094455,89.93196228158634,89.91784140848662,89.98960100122589,-917380590994.7468,497.3915172070794,168301765180.41306,0.7184525066614151,,False,False,False,False,,,,,-917380590525.6755,True,False,False
TiAs2Se4,Ti,As,Se,7.510822753716605,7.510822753716882,7.510822753717536,89.99999999999953,89.99999999999989,90.00000000000013,-38657.09891365279,423.703976427391,4916.287535489256,7.883365764327342,7.870244097244569,7.873284798724553,89.78118505725335,89.9083495700333,89.94702368876207,-509978.3407995228,488.485790067246,68786.2834601099,0.8818526989221573,,False,False,False,False,,,,,-471321.241886,True,False,False
TiAu2Se4,Ti,Au,Se,8.397904038262723,8.397904038261876,8.397904038262142,89.99999999999972,90.0,89.99999999999999,-84.66198290988933,592.2604375151459,0.0497671390209651,7.919159149622796,7.91004564849773,7.914367581144645,89.91723001453231,90.00849156133317,90.00129173766099,-7508789.041798404,495.7626674245339,49272045.80140445,0.578907628133893,,True,False,False,True,3.083237,normal,,,-7508704.379815,True,True,False
TiB2Se4,Ti,B,Se,7.277165219992476,7.277155525608633,7.277155341841959,89.99997047606931,89.99999957115965,89.99999974772577,-2989.011643864549,385.3767745640481,95.69257309958654,7.830976396054088,7.827954915307826,7.827077925948058,89.9764724988398,89.8450078740591,90.00992628529332,-9337337497008.217,479.8022232790207,69845496174483.28,0.7942526218295097,,False,False,False,False,,,,,-9337337494019.205,True,False,False
TiBa2Se4,Ti,Ba,Se,12.512124764386154,12.512124764386249,12.512124764386224,90.00000000000114,90.00000000000003,89.99999999999996,-291.6568117400363,1958.813997960173,0.0338422696841431,8.003026607894142,7.996222011143042,8.004081173689466,89.84117639090715,89.98440112774132,89.96995142159045,-8254048201.253804,512.2109335489572,30504407431.33068,0.935472993850708,,True,False,False,True,0.112941,normal,0.665,0.0,-8254047909.596992,True,True,True
TiBe2Se4,Ti,Be,Se,10.17878430215209,10.178784302152016,10.178784302152163,90.00000000000021,90.00000000000001,90.0,-265.94888309334505,1054.5999200769568,0.0333882738964687,7.888326707906408,7.878547816406366,7.878146115403717,89.87618073370126,89.9502268156492,90.0302114413545,-12355.624486895598,489.61403333825217,9084.680863052468,0.6136106102913618,,True,False,False,True,0.374706,normal,,,-12089.675604,True,True,True
TiBi2Se4,Ti,Bi,Se,11.77759806450884,11.777598064511354,11.777598064507496,89.99999999999994,90.0,90.0,-266.2627225684072,1633.6920176381254,0.0315832855456706,7.997369646709333,7.991281739881607,7.995075429388543,90.03904347187351,90.03661952146295,90.01387189230852,-3670131724.792568,510.9589086393974,34963682870.17991,0.8905638498067856,,True,False,False,True,0.142687,normal,0.54,0.0,-3670131458.529846,True,False,False
TiCa2Se4,Ti,Ca,Se,7.846965003585038,7.846965003585089,7.846965003584763,89.99999999994479,89.99999999997706,90.00000000001276,-375.4243281696733,483.1757696961234,8.376989782947946,7.971979615586442,7.995860588936232,8.012176029012604,89.95874039978669,89.87528523394305,90.00354816661442,-711197451252.9863,510.71749230298855,1655823506172.7217,0.8691868135333061,,False,False,False,False,,,,,-711197450877.562,True,True,True
TiCd2Se4,Ti,Cd,Se,7.740535281565276,7.740535281565234,7.740535281565511,90.0,90.0,90.0,-267.94785064940754,463.78103295500665,31.65176581508991,7.878109359519949,7.890370896464934,7.89501185044977,89.86576757749226,90.01628886614418,90.06512117577796,-33569.36042937488,490.7617653341564,14908.0350885545,0.4851299175992608,,False,False,False,False,,,,,-33301.412579,True,True,True
TiCe2Se4,Ti,Ce,Se,7.310219786351278,7.310219786349535,7.310219786380135,89.99999998408943,89.99999999854232,89.9999999372852,-10270.373200230424,390.6531256371478,2522.253751847265,8.001195597434423,8.006403703881812,8.006522441774466,89.8998867569488,89.91866972813354,89.96325221240944,-9595728815.03687,512.9028450076551,25584573958.792706,0.9258673226833344,,False,False,False,False,,,,,-9595718544.66367,True,False,False
