Compositions,a,b,c,angle_a,angle_b,angle_c,energy,volume,steps,conv,force_conv,force
TcSe2S4,7.315270606730954,7.315270606731119,7.315270606731329,90.0000000000091,90.00000000000003,90.00000000000001,-21076.578877918644,391.4634223513965,130,pass,pass,0.032841086127496
TcSi2S4,9.95225453581474,9.952254535814657,9.952254535814788,89.99999999999936,90.00000000000003,90.00000000000003,-312.13778719463994,985.7446407829642,112,pass,pass,0.0304666808970928
TcSm2S4,11.168908312132336,11.168908312130949,11.168908312131862,89.99999999999928,90.00000000000003,90.0,-368.6410133954977,1393.26002685192,168,pass,pass,0.0209499736688475
TcSn2S4,9.120658567900705,9.120658679783698,9.120658713616889,90.00000904985978,90.00002103952177,89.99996251523443,-1695.7974070077985,758.7148892651678,179,pass,pass,0.048631824668012
TcSr2S4,13.316051299158149,13.3160460323618,13.316053480894944,90.00001459815277,90.00001042463852,89.99999913284195,-209.9162453297241,2361.164680029085,271,pass,pass,0.0465317583784263
TcTa2S4,8.103829112671374,8.103829112671544,8.103829112670873,89.99999999999908,90.0,90.0,-264.79658696068526,532.1950405923512,78,pass,pass,0.0417808501650236
TcTb2S4,8.326793627122983,8.32679362712259,8.326793627122814,90.00000000000071,89.99999999999999,90.0,-1109.7798100388534,577.342333824086,66,pass,pass,0.0448354555246459
TcTc2S4,7.611406208116395,7.611406128540592,7.611406134359539,90.00000000025511,90.00000000007597,90.00000000006102,-16721.59830378578,440.95542665938217,600,pass,pass,230.4255270639308
TcTe2S4,8.368793344569125,8.372032204859662,8.367298302654838,90.00609931426229,89.98679196950968,90.01260158694434,-29845236.246615265,586.244743631955,600,pass,fail,5537312.753961769
TcTi2S4,10.10090154722209,10.100901547222408,10.100901547222389,89.99999999999508,89.99999999999974,90.00000000000021,-399.54526627610704,1030.5769251246309,125,pass,pass,0.0203637487221964
TcTl2S4,7.787504376671355,7.787504376669774,7.787504376673024,90.00000000000105,90.00000000000018,90.00000000000004,-3231.667852531843,472.27495056908265,110,pass,pass,0.027085132263448
TcTm2S4,10.845302547076136,10.845302547076695,10.84530254707669,90.00000000000225,90.0,90.0,-367.3625988632186,1275.6308554413704,148,pass,pass,0.0128202218642641
TcV2S4,8.164414274190124,8.164414274190714,8.1644142741906,90.00000000000239,90.00000000000001,90.00000000000001,-813.0071323366486,544.2207543854191,66,pass,pass,0.0496507918012523
TcW2S4,8.043928192462477,7.967155496772209,8.041811605110984,90.01214622540535,90.01031665544251,90.000979155907,-363604.8609455113,515.377383518895,600,pass,fail,299408.7495314434
TcY2S4,10.98003167410882,10.98003167410958,10.980031674108677,89.99999999999797,90.00000000000001,90.0,-398.7041498021269,1323.7646479628074,157,pass,pass,0.0385848312870078
TcYb2S4,8.333440921715328,8.333440921715296,8.333440921715027,90.0000000000007,90.0,90.0,-100.26063797332452,578.7261182393121,48,pass,pass,0.0437129421619679
TcZn2S4,7.93848940301662,7.938489403016375,7.938489403016399,89.99999999999913,90.0,90.0,-1281.2472182781653,500.2805379355149,77,pass,pass,0.039435280500004
TcZr2S4,8.08675504365373,8.086755043653685,8.086755043653536,90.00000000000199,90.0,90.0,-2916.6827138413355,528.8382558403077,113,pass,pass,0.0498851881028367
TeAg2S4,10.842740798038204,10.842740798038289,10.84274079803761,90.00000000000088,90.0,90.0,-197.8583255320427,1274.7271256637937,149,pass,pass,0.0311416926193458
TeAl2S4,8.243916814446782,8.242033283784705,8.265485914795127,90.05030985590297,90.0118382630341,89.97473173382545,-570207.8787097506,561.6116861459548,600,pass,fail,181147.68504638696
TeAs2S4,8.645943487247404,8.646046316587778,8.645974523605316,89.99527474135586,89.99752195155786,90.00324571703864,-653406.8638381085,646.3144996338964,600,pass,fail,369492.2713484723
TeAu2S4,8.349622007958752,8.3496220079585,8.34962200795928,90.00000000000149,90.0,90.0,-309.23240597750305,582.1038149287706,140,pass,pass,0.0483134683257268
TeB2S4,9.7486096725776,9.748609672577146,9.748609672577334,89.99999999999785,90.00000000000007,89.99999999999997,-236.9940463292732,926.4629275360209,105,pass,pass,0.020305541926257
TeBa2S4,12.259197136680418,12.259197136678107,12.259197136681266,89.99999999999876,89.99999999999996,90.0,-252.06716689742848,1842.4091703311803,209,pass,pass,0.0357357890081708
TeBe2S4,7.903267175546602,7.899081329788907,7.899746477605499,89.90870330387109,89.90026853696672,90.05233774722034,-2951400399.6269007,493.1681392711574,600,pass,fail,1624176667.8260956
TeBi2S4,11.798986536741362,11.7989865367425,11.798986536740951,89.99999999999883,90.00000000000004,90.00000000000006,-227.5621557991876,1642.608692486276,199,pass,pass,0.0476240898788032
TeC2S4,7.476481749136204,7.476481751300804,7.476481751342367,89.99999999379214,90.00000000312238,90.00000000262044,-4854604.251954606,417.9187273356978,600,pass,fail,705663.5986464395
TeCa2S4,11.424949868211293,11.424949868211831,11.424949868212222,90.00000000000007,90.0,90.0,-253.4374359472436,1491.2927595101942,174,pass,pass,0.0064645690145428
TeCd2S4,11.104973793159456,11.104973793157017,11.104973793159912,89.99999999999952,89.99999999999996,89.99999999999999,-186.4528354538028,1369.4702870843223,160,pass,pass,0.0398213127382027
TeCe2S4,11.837434181724332,11.8374341817278,11.837434181720806,89.99999999992436,90.00000000000765,90.00000000000163,-323.4141253273446,1658.7186655029043,216,pass,pass,0.003650608223045
TeCo2S4,10.021018798561244,10.021018798561062,10.021018798561704,90.00000000000166,90.0,90.0,-286.48376814727686,1006.3189025510842,111,pass,pass,0.0338783832586573
TeCr2S4,8.613477650944361,8.612916773727552,8.612500487306688,90.09665523712074,90.01453622757981,89.99126310103415,-4298686.406013577,638.9360674367857,600,pass,fail,2389055.413143974
TeCs2S4,8.639135485749554,8.639135495096404,8.63913549313765,90.00000000000529,90.00000000000006,90.00000000000003,34.357204003666254,644.7789576916069,308,pass,pass,0.0497821723660252
TeCu2S4,8.240597099287243,8.240597229137874,8.24059552690309,90.00002770835697,90.00002085714605,90.00001787772159,-196985.4062117004,559.5977596803802,600,pass,fail,18902.66478663635
TeDy2S4,11.500523015929568,11.500523015930032,11.500523015932956,89.99999999999872,90.00000000000001,89.99999999999997,-306.4142884232495,1521.082516008034,184,pass,pass,0.0365296577199692
TeEr2S4,11.440922574563611,11.440922574565844,11.440922574562585,90.00000000000257,90.00000000000006,89.99999999999997,-306.1264164844016,1497.5562351754238,208,pass,pass,0.0479689818029009
