Compositions,a,b,c,angle_a,angle_b,angle_c,energy,volume,steps,conv,force_conv,force
TlTm2Te4,8.355789727788471,8.391577080040634,8.3972007493813,89.98179812150879,90.01273096722079,90.05529231602232,-14708.571517338592,588.7967330080509,600,pass,fail,10391.094511521533
TlV2Te4,12.288858067351082,12.023832410165776,11.582427093374305,84.58529365511635,91.18820394403116,87.97253049927583,-276.4055491094019,1702.2079428108063,391,pass,pass,0.0471484417058459
TlW2Te4,8.14671729200365,8.082018024532994,8.09874703765629,90.27341042389024,90.01906503599982,90.0626195937892,-1765.0096508701329,533.2306020013947,600,pass,fail,1061.2671835654735
TlY2Te4,8.152446181719023,8.15190291050886,8.144198495123886,90.05979165391336,89.80357649709342,89.88007730372217,-476193644572.99817,541.2420694807214,600,pass,fail,3838117880031.252
TlYb2Te4,8.536221663665234,8.520833263689424,8.522327377521115,90.05867748963009,90.04546710641263,89.96176405070949,-1047703353.6562024,619.8769727085638,600,pass,fail,817318098.2416849
TlZn2Te4,8.259505852898616,8.259107454663814,8.259211835687829,90.05846810500152,90.04275975915208,89.98083042492914,-25025740.437090285,563.4111217727985,600,pass,fail,37353279.65625355
TlZr2Te4,8.200267654705044,8.197526660951473,8.197361373018746,89.98154480699034,90.00516382364788,90.000437078267,-426092880.9021419,551.0422799642424,600,pass,fail,427821924.439498
TmAg2Te4,8.074413060414493,8.063726244844656,8.085115881093879,89.98523547431094,90.5605210323808,89.31532238525695,-62250663.31367581,526.3579232578684,600,pass,fail,38457434.92560858
TmAl2Te4,8.023950301306519,8.02500980458673,8.025576311107907,90.02430474157869,90.01682090683708,89.98709395137233,-8475127630732.127,516.7850738352519,600,pass,fail,27174228253237.22
TmB2Te4,8.673187356979229,8.545488409708481,8.575455559687068,90.17048466251956,89.85068944095718,90.33750254374368,-1458496.170456421,635.5678288321984,600,pass,fail,5062800.896276222
TmBi2Te4,8.52910792132979,8.540614644597936,8.556420861853129,90.11062761681762,89.98564995390356,90.05132006781483,400.3804164004555,623.2809843685775,600,pass,pass,35.9060365449703
TmCe2Te4,8.41587523070438,8.402870742929768,8.412989992130175,90.0149259519868,90.15182094462033,89.88177751023738,-518935353.45966464,594.9423441562066,600,pass,fail,1404881016.4085598
TmCo2Te4,8.05256525706558,8.070084493602621,8.069925382300033,90.20661907395868,90.23687840162964,89.96466159518444,-285.3052357612776,524.4151620939971,600,pass,pass,31.33593412457341
TmCr2Te4,8.042724793928631,8.02481248448242,8.017502612455282,90.14443136257096,90.02927325532858,89.97622812156392,-180622275.59934387,517.4587531810821,600,pass,fail,127974302.56737766
TmCu2Te4,8.093476971386877,8.104634167596151,8.120437493338677,90.0317593925064,90.02912715875915,89.98461847395826,-2827.2557477446667,532.657247793002,600,pass,fail,7848.45910969276
