Compositions,a,b,c,angle_a,angle_b,angle_c,energy,volume,steps,conv,force_conv,force
BeTa2S4,8.042184418054019,8.043929272203199,8.045101941556368,90.01401484465173,90.00482090100854,90.00154065950699,-4076341.110510825,520.4437626188997,600,pass,fail,1241046.183112112
BeTb2S4,8.203387197342368,8.214499130769717,8.21778719349159,90.02273934652465,89.99199697727755,90.04210096233497,-29636088.09108085,553.7695014991299,600,pass,fail,20191955.682222933
BeTc2S4,7.949545252235929,7.940471286164303,7.941264173322217,89.96781447653997,89.99108460579488,90.00748436448852,-9617.835754852036,501.2774075015882,600,pass,fail,2260.012096493317
BeTe2S4,8.15299871727488,8.164349137595446,8.1650632297009,90.0150498076144,90.0676000658549,90.03860648404368,-2320577054.676573,543.4981607883611,600,pass,fail,5780230706.394063
BeTi2S4,8.067997854727185,8.070894722888147,8.069977545093028,89.98515157474709,89.98283853869317,90.03215627651792,-632184342.3420818,525.484221598943,600,pass,fail,1865860886.9373949
BeTl2S4,8.110217524295715,8.111576238787048,8.10100277819903,90.04494113055625,90.13606621394682,89.88497933307657,-158010659.51381695,532.9350776568893,600,pass,fail,586054826.1108164
BeTm2S4,8.269720615043504,8.286082239774636,8.28069170566245,90.0221678737037,90.07274271832044,89.98481504280863,-19275656.83761685,567.4221632806658,600,pass,fail,60673583.97952402
BeV2S4,7.977738540372378,7.965283571109693,7.962897581604717,90.09154094354676,89.95536244932445,90.00958137079365,-335108189.782774,506.0011201861016,600,pass,fail,1683778474.98119
BeW2S4,7.936111224449671,7.93797599229015,7.938674194240994,90.04494004996548,90.07639741416142,90.0125322674021,-1404431.410016671,500.1093515260749,600,pass,fail,1191688.7616735466
BeY2S4,8.033223106560913,8.01880559686527,8.016089678030431,89.99768333019017,89.97759920977558,90.0031406818501,-251535104.79121143,516.3712410457719,600,pass,fail,49155658.0173824
BeYb2S4,8.020659867299747,8.01600652437961,8.014350277894232,90.02190249829633,90.04225210140575,89.97710583575626,-55403392.48000603,515.2717076910343,600,pass,fail,238183888.31690264
BeZn2S4,8.038421906547564,7.984644416459442,7.980894322411071,89.93291995343805,89.86871766986538,89.92652019615427,-5918.670404410142,512.2431318476151,600,pass,fail,6854.574671916206
BeZr2S4,8.01755512534522,8.022743124244231,8.023987841309761,89.98960282783524,89.98475532366739,89.96883025622624,-3287.1634827394387,516.1251436786835,600,pass,pass,795.0422544201991
BiAg2S4,8.112830433992887,8.112328770295738,8.123507840676956,89.89118158044147,90.00365929310594,89.98848847053951,-3811.456878477017,534.6391443300921,600,pass,fail,2098.970396734636
BiAl2S4,8.041949688265293,8.053670452257263,8.057257037137811,89.88549754891415,90.00379578847084,90.06456153635217,-59208858.26596561,521.8447049273332,600,pass,fail,225474876.88938764
BiAs2S4,8.281329203706944,8.2376717070807,8.22010793365535,90.04950013894941,90.04484055563924,89.86032219586937,-181017537.3233849,560.764438605216,600,pass,fail,191886462.98413765
