Al1 Rh2 Se4,0
Al1 Ru2 Se4,0
Al1 Sb2 Se4,0
Sc2 Al1 Se4,0
Al1 Si2 Se4,0
Sm2 Al1 Se4,0
Al1 Sn2 Se4,0
Ta2 Al1 Se4,0
Tb2 Al1 Se4,0
Al1 Tc2 Se4,0
Al1 Te2 Se4,0
Ti2 Al1 Se4,0
Al1 Tl2 Se4,0
Tm2 Al1 Se4,0
Al1 V2 Se4,0
Al1 W2 Se4,0
Y2 Al1 Se4,0
Yb2 Al1 Se4,0
Al1 Zn2 Se4,0
Zr2 Al1 Se4,0
Ag2 As1 Se4,0
Al2 As1 Se4,0
As3 Se4,0
As1 Au2 Se4,0
B2 As1 Se4,0
Ba2 As1 Se4,0
Be2 As1 Se4,0
Bi2 As1 Se4,0
Ca2 As1 Se4,0
Cd2 As1 Se4,0
Ce2 As1 Se4,0
Co2 As1 Se4,0
Cr2 As1 Se4,0
Cu2 As1 Se4,0
Dy2 As1 Se4,0
Er2 As1 Se4,0
Eu2 As1 Se4,0
Fe2 As1 Se4,0
Ga2 As1 Se4,0
Gd2 As1 Se4,0
Ge2 As1 Se4,0
Hf2 As1 Se4,0
Hg2 As1 Se4,0
Ho2 As1 Se4,0
In2 As1 Se4,0
As1 Ir2 Se4,0
La2 As1 Se4,0
Lu2 As1 Se4,0
Mg2 As1 Se4,0
Mn2 As1 Se4,0
Mo2 As1 Se4,0
Nb2 As1 Se4,0
Nd2 As1 Se4,0
Ni2 As1 Se4,0
As1 Os2 Se4,0
As1 P2 Se4,0
As1 Pb2 Se4,0
As1 Pd2 Se4,0
Pr2 As1 Se4,0
As1 Pt2 Se4,0
Re2 As1 Se4,0
As1 Rh2 Se4,0
As1 Ru2 Se4,0
Sb2 As1 Se4,0
Sc2 As1 Se4,0
Si2 As1 Se4,0
Sm2 As1 Se4,0
Sn2 As1 Se4,0
Sr2 As1 Se4,0
Ta2 As1 Se4,0
Tb2 As1 Se4,0
Tc2 As1 Se4,0
Te2 As1 Se4,0
Ti2 As1 Se4,0
Tl2 As1 Se4,0
Tm2 As1 Se4,0
V2 As1 Se4,0
As1 W2 Se4,0
Y2 As1 Se4,0
Yb2 As1 Se4,0
Zn2 As1 Se4,0
Zr2 As1 Se4,0
Ag2 Au1 Se4,0
Al2 Au1 Se4,0
As2 Au1 Se4,0
Au3 Se4,0
B2 Au1 Se4,0
Bi2 Au1 Se4,0
Ca2 Au1 Se4,0
Cd2 Au1 Se4,0
Ce2 Au1 Se4,0
Co2 Au1 Se4,0
Cr2 Au1 Se4,0
Cu2 Au1 Se4,0
Dy2 Au1 Se4,0
Er2 Au1 Se4,0
Eu2 Au1 Se4,0
Fe2 Au1 Se4,0
Ga2 Au1 Se4,0
Gd2 Au1 Se4,0
Ge2 Au1 Se4,0
Hf2 Au1 Se4,0
Hg2 Au1 Se4,0
